,Name,Type,Campus setting,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Net Price **
459,Viterbo University,"4-year, Private not-for-profit",City: Small,2592,1751,54,NA,20747
460,Wabash College,"4-year, Private not-for-profit",Town: Distant,867,867,74,18,21285
461,Walsh College,"4-year, Private not-for-profit",City: Small,1800,742,NA,NA,NA
462,Walsh University,"4-year, Private not-for-profit",Suburb: Large,2694,1937,65,NA,20180
463,Wartburg College,"4-year, Private not-for-profit",Town: Distant,1505,1505,62,NA,22363
464,Washburn University,"4-year, Public",City: Midsize,6285,5472,46,21,13752
465,Washington University in St Louis,"4-year, Private not-for-profit",Suburb: Large,16191,7822,95,NA,27108
466,Wayne State College,"4-year, Public",Town: Distant,3890,3148,51,36,13770
467,Wayne State University,"4-year, Public",City: Large,26824,17643,48,32,15012
468,Webster University,"4-year, Private not-for-profit",Suburb: Large,9860,2832,58,NA,23265
469,Western Illinois University,"4-year, Public",Town: Remote,7624,5958,51,33,15802
470,Western Michigan University,"4-year, Public",City: Small,21470,17051,57,26,17028
471,Westminster College,"4-year, Private not-for-profit",Town: Distant,655,655,59,NA,22656
472,Wheaton College,"4-year, Private not-for-profit",Suburb: Large,3004,2395,89,9,28795
473,Wichita State University,"4-year, Public",City: Large,15342,12623,50,27,13849
474,William Jewell College,"4-year, Private not-for-profit",Suburb: Large,739,734,63,NA,23437
475,William Penn University,"4-year, Private not-for-profit",Town: Remote,1258,1195,34,2,20640
476,William Woods University,"4-year, Private not-for-profit",Town: Distant,2153,873,58,NA,23663
477,Wilmington College,"4-year, Private not-for-profit",Town: Distant,1231,1231,55,NA,22432
478,Winona State University,"4-year, Public",Town: Distant,7605,6978,59,30,16617
479,Wisconsin Lutheran College,"4-year, Private not-for-profit",City: Large,1148,1003,59,31,21836
480,Wittenberg University,"4-year, Private not-for-profit",City: Small,1619,1577,63,20,23060
481,Wright State University-Main Campus,"4-year, Public",Suburb: Large,12356,9371,45,NA,15251
482,Xavier University,"4-year, Private not-for-profit",City: Large,6973,5043,73,NA,32429
483,Yeshiva Gedolah of Greater Detroit,"4-year, Private not-for-profit",Suburb: Large,62,55,20,80,8567
484,York College,"4-year, Private not-for-profit",Town: Remote,507,422,47,28,16748
485,Youngstown State University,"4-year, Public",City: Small,12110,10938,41,NA,11616
